Area Type,Area Name,Period,Standard Occupational Code,Occupational Title,Total Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,412011,Cashiers,1470,10.79,22421.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,452092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",1320,9.68,20125.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,353021,"Combined Food Preparation and Serving Workers, Including Fast Food",1240,9.53,19834.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,412031,Retail Salespersons,1210,11.53,23998.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,119013,"Farmers, Ranchers, and Other Agricultural Managers",1080,,,High school diploma or equivalent,≥5 years,None
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,353031,Waiters and Waitresses,1060,11.09,23077.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,399021,Personal Care Aides,790,11.38,23678.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,111021,General and Operations Managers,740,45.41,94455.00,Bachelor's degree,≥5 years,None
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",650,12.46,25912.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,353022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",600,9.82,20436.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,439061,"Office Clerks, General",600,16.54,34385.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,291141,Registered Nurses,570,66.97,139290.00,Bachelor's degree,None,None
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,435081,Stock Clerks and Order Fillers,520,12.16,25287.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,352014,"Cooks, Restaurant",500,14.04,29195.00,No formal educational credential,<5 years,Moderate-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,537062,"Laborers and Freight, Stock, and Material Movers, Hand",500,11.34,23573.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,400,9.70,20181.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,253098,Substitute Teachers,390,14.57,30313.00,Bachelor's degree,None,Internship/Residency
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,373011,Landscaping and Groundskeeping Workers,380,13.31,27686.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,499071,"Maintenance and Repair Workers, General",360,20.49,42628.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,372012,Maids and Housekeeping Cleaners,350,11.80,24535.00,No formal educational credential,None,Short-term on-the-job training
County,Shasta County,2014-2024,319092,Medical Assistants,210,15.30,31816.00,Postsecondary non-degree award,None,None
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,351012,First-Line Supervisors of Food Preparation and Serving Workers,330,12.35,25687.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,352021,Food Preparation Workers,330,10.99,22852.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,353011,Bartenders,320,11.20,23291.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,434171,Receptionists and Information Clerks,320,14.41,29974.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,411011,First-Line Supervisors of Retail Sales Workers,300,19.21,39939.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,359031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",280,9.54,19854.00,No formal educational credential,None,None
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,252021,"Elementary School Teachers, Except Special Education",260,,68651.00,Bachelor's degree,None,Internship/Residency
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,259041,Teacher Assistants,260,,31054.00,"Some college, no degree",None,None
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,414012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",260,30.21,62835.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,512092,Team Assemblers,260,12.69,26397.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,399011,Childcare Workers,250,13.24,27543.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,436014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",250,18.17,37792.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,472061,Construction Laborers,250,25.31,52639.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,311011,Home Health Aides,240,11.45,23811.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,537064,"Packers and Packagers, Hand",240,9.88,20558.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,252031,"Secondary School Teachers, Except Special and Career/Technical Education",230,,60078.00,Bachelor's degree,None,Internship/Residency
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,132011,Accountants and Auditors,220,35.71,74285.00,Bachelor's degree,None,None
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,359021,Dishwashers,220,9.93,20660.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,434051,Customer Service Representatives,220,19.28,40115.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,452091,Agricultural Equipment Operators,220,16.56,34435.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,319092,Medical Assistants,210,18.18,37822.00,Postsecondary non-degree award,None,None
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,395012,"Hairdressers, Hairstylists, and Cosmetologists",210,10.78,22424.00,Postsecondary non-degree award,None,None
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,431011,First-Line Supervisors of Office and Administrative Support Workers,210,27.71,57645.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,435071,"Shipping, Receiving, and Traffic Clerks",210,14.64,30455.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,533033,Light Truck or Delivery Services Drivers,210,17.51,36420.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,533032,Heavy and Tractor-Trailer Truck Drivers,190,20.97,43602.00,Postsecondary non-degree award,None,Short-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,211093,Social and Human Service Assistants,180,15.34,31916.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,433031,"Bookkeeping, Accounting, and Auditing Clerks",160,20.28,42193.00,"Some college, no degree",None,Moderate-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,519111,Packaging and Filling Machine Operators and Tenders,160,9.73,20241.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Santa Cruz-Watsonville MSA,2014-2024,253021,Self-Enrichment Education Teachers,150,18.85,39200.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,452092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",7290,10.07,20948.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,353031,Waiters and Waitresses,3230,10.98,22842.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,353021,"Combined Food Preparation and Serving Workers, Including Fast Food",2900,9.94,20680.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,412011,Cashiers,2290,10.90,22674.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,399021,Personal Care Aides,2020,10.90,22679.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,412031,Retail Salespersons,1970,10.98,22825.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,119013,"Farmers, Ranchers, and Other Agricultural Managers",1770,31.59,65709.00,High school diploma or equivalent,≥5 years,None
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,111021,General and Operations Managers,1470,49.89,103768.00,Bachelor's degree,≥5 years,None
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,373011,Landscaping and Groundskeeping Workers,1270,13.35,27757.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,434051,Customer Service Representatives,1090,17.70,36830.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,352014,"Cooks, Restaurant",1050,13.31,27686.00,No formal educational credential,<5 years,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,439061,"Office Clerks, General",1050,17.27,35940.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,372012,Maids and Housekeeping Cleaners,1030,11.57,24066.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",990,13.64,28369.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,291141,Registered Nurses,900,46.38,96478.00,Bachelor's degree,None,None
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,880,9.57,19895.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,537062,"Laborers and Freight, Stock, and Material Movers, Hand",870,11.88,24704.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,359031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",830,9.54,19854.00,No formal educational credential,None,None
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,472031,Carpenters,770,24.44,50850.00,High school diploma or equivalent,None,Apprenticeship
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,352021,Food Preparation Workers,750,10.81,22485.00,No formal educational credential,None,Short-term on-the-job training
County,Shasta County,2014-2024,311014,Nursing Assistants,200,13.26,27574.00,Postsecondary non-degree award,None,None
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,436014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",750,19.45,40473.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,351012,First-Line Supervisors of Food Preparation and Serving Workers,710,16.30,33896.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,499071,"Maintenance and Repair Workers, General",710,19.50,40555.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,132011,Accountants and Auditors,680,38.74,80589.00,Bachelor's degree,None,None
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,435081,Stock Clerks and Order Fillers,680,11.09,23077.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,359021,Dishwashers,650,9.81,20415.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,472061,Construction Laborers,640,20.84,43329.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,434171,Receptionists and Information Clerks,590,14.97,31130.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,452091,Agricultural Equipment Operators,590,11.85,24658.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,252021,"Elementary School Teachers, Except Special Education",570,,75164.00,Bachelor's degree,None,Internship/Residency
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,472141,"Painters, Construction and Maintenance",540,19.59,40737.00,No formal educational credential,None,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,353022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",530,10.92,22730.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,353011,Bartenders,520,14.27,29685.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,431011,First-Line Supervisors of Office and Administrative Support Workers,500,27.50,57195.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,259041,Teacher Assistants,480,,33235.00,"Some college, no degree",None,None
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,131161,Market Research Analysts and Marketing Specialists,460,32.54,67695.00,Bachelor's degree,None,None
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,434081,"Hotel, Motel, and Resort Desk Clerks",460,13.41,27897.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,411011,First-Line Supervisors of Retail Sales Workers,450,21.53,44791.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,319092,Medical Assistants,440,17.72,36863.00,Postsecondary non-degree award,None,None
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,151133,"Software Developers, Systems Software",430,56.00,116484.00,Bachelor's degree,None,None
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,151132,"Software Developers, Applications",420,42.87,89164.00,Bachelor's degree,None,None
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,414012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",420,24.19,50311.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,311014,Nursing Assistants,400,16.58,34477.00,Postsecondary non-degree award,None,None
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,393091,Amusement and Recreation Attendants,400,9.73,20242.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,399011,Childcare Workers,400,13.33,27727.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Stanislaus County,2014-2024,472111,Electricians,430,26.69,55505.00,High school diploma or equivalent,None,Apprenticeship
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,533032,Heavy and Tractor-Trailer Truck Drivers,400,21.16,43999.00,Postsecondary non-degree award,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,119051,Food Service Managers,350,23.23,48312.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,412021,Counter and Rental Clerks,320,11.95,24857.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,433031,"Bookkeeping, Accounting, and Auditing Clerks",320,20.84,43339.00,"Some college, no degree",None,Moderate-term on-the-job training
Metropolitan Area,Santa Maria-Santa Barbara MSA,2014-2024,292061,Licensed Practical and Licensed Vocational Nurses,310,26.82,55787.00,Postsecondary non-degree award,None,None
Metropolitan Area,Santa Rosa MSA,2014-2024,412031,Retail Salespersons,3330,11.90,24756.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Rosa MSA,2014-2024,412011,Cashiers,2770,10.52,21895.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Rosa MSA,2014-2024,353031,Waiters and Waitresses,2710,13.86,28828.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Rosa MSA,2014-2024,353021,"Combined Food Preparation and Serving Workers, Including Fast Food",2180,9.57,19895.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Rosa MSA,2014-2024,399021,Personal Care Aides,1830,11.91,24769.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Rosa MSA,2014-2024,111021,General and Operations Managers,1610,48.15,100145.00,Bachelor's degree,≥5 years,None
Metropolitan Area,Santa Rosa MSA,2014-2024,452092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",1490,11.72,24383.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Rosa MSA,2014-2024,537062,"Laborers and Freight, Stock, and Material Movers, Hand",1350,13.62,28331.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Rosa MSA,2014-2024,435081,Stock Clerks and Order Fillers,1290,12.48,25973.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Rosa MSA,2014-2024,119013,"Farmers, Ranchers, and Other Agricultural Managers",1140,45.31,94261.00,High school diploma or equivalent,≥5 years,None
Metropolitan Area,Santa Rosa MSA,2014-2024,352014,"Cooks, Restaurant",1110,13.74,28573.00,No formal educational credential,<5 years,Moderate-term on-the-job training
Metropolitan Area,Santa Rosa MSA,2014-2024,439061,"Office Clerks, General",1110,17.78,36963.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Rosa MSA,2014-2024,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",1100,13.26,27563.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Rosa MSA,2014-2024,373011,Landscaping and Groundskeeping Workers,880,14.80,30786.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Rosa MSA,2014-2024,259041,Teacher Assistants,820,,31500.00,"Some college, no degree",None,None
Metropolitan Area,Santa Rosa MSA,2014-2024,352021,Food Preparation Workers,810,11.41,23729.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Rosa MSA,2014-2024,252021,"Elementary School Teachers, Except Special Education",780,,63751.00,Bachelor's degree,None,Internship/Residency
Metropolitan Area,Santa Rosa MSA,2014-2024,499071,"Maintenance and Repair Workers, General",780,21.88,45511.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Santa Rosa MSA,2014-2024,132011,Accountants and Auditors,750,34.18,71082.00,Bachelor's degree,None,None
Metropolitan Area,Santa Rosa MSA,2014-2024,359021,Dishwashers,750,10.41,21659.00,No formal educational credential,None,Short-term on-the-job training
County,Solano County,2014-2024,353031,Waiters and Waitresses,1150,11.01,22893.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Rosa MSA,2014-2024,414012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",740,27.56,57316.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Santa Rosa MSA,2014-2024,472031,Carpenters,740,30.18,62772.00,High school diploma or equivalent,None,Apprenticeship
Metropolitan Area,Santa Rosa MSA,2014-2024,411011,First-Line Supervisors of Retail Sales Workers,720,20.03,41658.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Santa Rosa MSA,2014-2024,351012,First-Line Supervisors of Food Preparation and Serving Workers,710,15.11,31438.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Santa Rosa MSA,2014-2024,372012,Maids and Housekeeping Cleaners,710,11.94,24841.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Rosa MSA,2014-2024,434051,Customer Service Representatives,710,19.05,39645.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Rosa MSA,2014-2024,472061,Construction Laborers,700,22.07,45900.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Rosa MSA,2014-2024,253098,Substitute Teachers,670,17.44,36268.00,Bachelor's degree,None,Internship/Residency
Metropolitan Area,Santa Rosa MSA,2014-2024,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,630,10.32,21455.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Rosa MSA,2014-2024,353011,Bartenders,600,11.96,24882.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Rosa MSA,2014-2024,519111,Packaging and Filling Machine Operators and Tenders,580,14.67,30510.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Santa Rosa MSA,2014-2024,431011,First-Line Supervisors of Office and Administrative Support Workers,570,27.99,58229.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Santa Rosa MSA,2014-2024,436014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",560,19.57,40699.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Rosa MSA,2014-2024,533033,Light Truck or Delivery Services Drivers,530,16.25,33791.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Rosa MSA,2014-2024,399011,Childcare Workers,510,13.79,28665.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Rosa MSA,2014-2024,434171,Receptionists and Information Clerks,510,16.11,33515.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Shasta County,2014-2024,472061,Construction Laborers,220,16.89,35127.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Rosa MSA,2014-2024,519012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",510,18.17,37788.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Santa Rosa MSA,2014-2024,412021,Counter and Rental Clerks,500,13.52,28112.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Rosa MSA,2014-2024,353022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",490,11.98,24933.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Rosa MSA,2014-2024,252031,"Secondary School Teachers, Except Special and Career/Technical Education",470,,69280.00,Bachelor's degree,None,Internship/Residency
Metropolitan Area,Santa Rosa MSA,2014-2024,311014,Nursing Assistants,460,14.07,29266.00,Postsecondary non-degree award,None,None
Metropolitan Area,Santa Rosa MSA,2014-2024,493023,Automotive Service Technicians and Mechanics,460,23.06,47958.00,Postsecondary non-degree award,None,Short-term on-the-job training
Metropolitan Area,Santa Rosa MSA,2014-2024,292061,Licensed Practical and Licensed Vocational Nurses,450,26.55,55229.00,Postsecondary non-degree award,None,None
Metropolitan Area,Santa Rosa MSA,2014-2024,359031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",450,9.65,20068.00,No formal educational credential,None,None
Metropolitan Area,Santa Rosa MSA,2014-2024,319092,Medical Assistants,440,19.50,40545.00,Postsecondary non-degree award,None,None
Metropolitan Area,Santa Rosa MSA,2014-2024,533032,Heavy and Tractor-Trailer Truck Drivers,440,22.51,46821.00,Postsecondary non-degree award,None,Short-term on-the-job training
Metropolitan Area,Santa Rosa MSA,2014-2024,393091,Amusement and Recreation Attendants,430,10.80,22475.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Santa Rosa MSA,2014-2024,533031,Driver/Sales Workers,390,14.94,31081.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Santa Rosa MSA,2014-2024,537064,"Packers and Packagers, Hand",380,10.92,22718.00,No formal educational credential,None,Short-term on-the-job training
County,Shasta County,2014-2024,399021,Personal Care Aides,1330,10.22,21241.00,No formal educational credential,None,Short-term on-the-job training
County,Shasta County,2014-2024,412031,Retail Salespersons,1100,10.66,22178.00,No formal educational credential,None,Short-term on-the-job training
County,Shasta County,2014-2024,412011,Cashiers,1090,10.06,20915.00,No formal educational credential,None,Short-term on-the-job training
County,Shasta County,2014-2024,353021,"Combined Food Preparation and Serving Workers, Including Fast Food",830,10.53,21924.00,No formal educational credential,None,Short-term on-the-job training
County,Shasta County,2014-2024,291141,Registered Nurses,660,45.12,93861.00,Bachelor's degree,None,None
County,Shasta County,2014-2024,353031,Waiters and Waitresses,560,9.65,20058.00,No formal educational credential,None,Short-term on-the-job training
County,Shasta County,2014-2024,435081,Stock Clerks and Order Fillers,410,11.38,23670.00,No formal educational credential,None,Short-term on-the-job training
County,Shasta County,2014-2024,439061,"Office Clerks, General",370,14.29,29718.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Shasta County,2014-2024,353022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",350,9.41,19579.00,No formal educational credential,None,Short-term on-the-job training
County,Shasta County,2014-2024,119013,"Farmers, Ranchers, and Other Agricultural Managers",290,,,High school diploma or equivalent,≥5 years,None
County,Shasta County,2014-2024,399011,Childcare Workers,290,11.95,24861.00,High school diploma or equivalent,None,Short-term on-the-job training
County,Shasta County,2014-2024,259041,Teacher Assistants,280,,26884.00,"Some college, no degree",None,None
County,Shasta County,2014-2024,352014,"Cooks, Restaurant",280,11.54,24015.00,No formal educational credential,<5 years,Moderate-term on-the-job training
County,Shasta County,2014-2024,411011,First-Line Supervisors of Retail Sales Workers,280,17.20,35784.00,High school diploma or equivalent,<5 years,None
County,Shasta County,2014-2024,537062,"Laborers and Freight, Stock, and Material Movers, Hand",270,11.41,23726.00,No formal educational credential,None,Short-term on-the-job training
County,Shasta County,2014-2024,252021,"Elementary School Teachers, Except Special Education",260,,73419.00,Bachelor's degree,None,Internship/Residency
County,Shasta County,2014-2024,372012,Maids and Housekeeping Cleaners,250,9.75,20272.00,No formal educational credential,None,Short-term on-the-job training
County,Shasta County,2014-2024,412021,Counter and Rental Clerks,250,11.15,23189.00,No formal educational credential,None,Short-term on-the-job training
County,Shasta County,2014-2024,359031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",240,9.49,19752.00,No formal educational credential,None,None
County,Shasta County,2014-2024,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",240,12.65,26330.00,No formal educational credential,None,Short-term on-the-job training
County,Shasta County,2014-2024,493023,Automotive Service Technicians and Mechanics,240,19.98,41576.00,Postsecondary non-degree award,None,Short-term on-the-job training
County,Shasta County,2014-2024,431011,First-Line Supervisors of Office and Administrative Support Workers,220,22.68,47166.00,High school diploma or equivalent,<5 years,None
County,Shasta County,2014-2024,499071,"Maintenance and Repair Workers, General",220,16.02,33324.00,High school diploma or equivalent,None,Long-term on-the-job training
